,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
92,@BBC,Thu Jul 19 18:02:42 +0000 2018,"⛳️🏌 Highlights on the first round of the 147th Open Championship from Carnoustie. ️

Golf: #TheOpen - Day One Highl… https://t.co/zdLWmnm28x",0.4404,0.139,0.861,0.0,93
93,@BBC,Thu Jul 19 17:29:06 +0000 2018,The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,0.5994,0.281,0.719,0.0,94
94,@BBC,Thu Jul 19 17:02:04 +0000 2018,Visit the RHS Flower Show at @tatton_park in Cheshire as it celebrates its 20th birthday with a festival of flowers… https://t.co/oGBZVyKFut,0.7845,0.277,0.723,0.0,95
95,@BBC,Thu Jul 19 15:57:06 +0000 2018,🇬🇧 Do you know your Britishisms? https://t.co/mdPdlfb3jE,0.4215,0.286,0.714,0.0,96
96,@BBC,Thu Jul 19 15:11:33 +0000 2018,RT @BBC_ARoadshow: Happy 90th Birthday Henry - you certainly had a smashing time with #FionaBruce ...! #antiquesroadshow https://t.co/tgqqX…,0.75,0.313,0.687,0.0,97
97,@BBC,Thu Jul 19 14:51:09 +0000 2018,"RT @BBCEarth: This is happening right now! 

@parleyxxx are a group fighting against plastic pollution. A team is currently in Dominican Re…",-0.4199,0.0,0.872,0.128,98
98,@BBC,Thu Jul 19 14:29:39 +0000 2018,"Upmarket British fashion label Burberry destroyed unsold clothes, accessories and perfume worth £28.6m last year to… https://t.co/ngZUdI2Iem",-0.3182,0.095,0.746,0.159,99
99,@BBC,Thu Jul 19 14:01:05 +0000 2018,This new Juventus kit is made entirely from recycled ocean plastic. ♻️🌊️⚽️ https://t.co/m0uU5O0Xyx https://t.co/K84NwxQvsQ,0.0,0.0,1.0,0.0,100
100,@CBS,Wed Jul 25 17:25:36 +0000 2018,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",0.75,0.273,0.727,0.0,1
101,@CBS,Wed Jul 25 15:12:31 +0000 2018,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",0.0,0.0,1.0,0.0,2
102,@CBS,Wed Jul 25 01:05:03 +0000 2018,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,0.34,0.118,0.882,0.0,3
103,@CBS,Tue Jul 24 18:54:14 +0000 2018,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",-0.1511,0.068,0.834,0.099,4
104,@CBS,Mon Jul 23 21:30:33 +0000 2018,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,0.8293,0.34,0.66,0.0,5
105,@CBS,Sun Jul 22 01:56:13 +0000 2018,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,0.128,0.073,0.927,0.0,6
106,@CBS,Sat Jul 21 00:55:28 +0000 2018,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,-0.296,0.0,0.891,0.109,7
107,@CBS,Sat Jul 21 00:19:12 +0000 2018,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,-0.296,0.0,0.891,0.109,8
108,@CBS,Sat Jul 21 00:10:00 +0000 2018,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",-0.7964,0.0,0.736,0.264,9
109,@CBS,Fri Jul 20 23:44:54 +0000 2018,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,-0.6597,0.0,0.82,0.18,10
110,@CBS,Fri Jul 20 22:29:36 +0000 2018,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",0.3182,0.095,0.905,0.0,11
111,@CBS,Fri Jul 20 21:39:09 +0000 2018,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,0.0,0.0,1.0,0.0,12
112,@CBS,Fri Jul 20 15:08:23 +0000 2018,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",0.0,0.0,1.0,0.0,13
113,@CBS,Tue Jul 17 17:55:25 +0000 2018,🤰👩‍👧🚫🍸 #WorldEmojiDay,0.0,0.0,1.0,0.0,14
