,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
79,@BBC,Tue Jul 24 17:02:07 +0000 2018,"🌡🍂 From Carnoustie to London, the heatwave has left Britain's parks and lawns parched.

📷 https://t.co/yqcbYgu5Y7… https://t.co/I0rzDBzXOp",0.0,0.0,1.0,0.0,80
80,@BBC,Tue Jul 24 16:02:09 +0000 2018,"These birds woo the ladies with popcorn and cartwheels.
#AnimalsBehavingBadly https://t.co/HUArZNsNXy",0.4767,0.237,0.763,0.0,81
81,@BBC,Tue Jul 24 13:01:03 +0000 2018,"Got kids who are on school holidays? 

📱The ‘CBBC Buzz’ app is free, fun and there’s something for you, whatever yo… https://t.co/RCuJvRzW8D",0.8481,0.326,0.674,0.0,82
82,@BBC,Tue Jul 24 12:16:10 +0000 2018,"RT @BBCOxford: Oxford's Soup Peddler - who has given more than 4,000 free meals to the homeless - is hanging up his ladle.
Could you carry…",0.552,0.134,0.866,0.0,83
83,@BBC,Tue Jul 24 12:03:04 +0000 2018,"👨‍🎤🍞 The first known studio recording of David Bowie is set for auction after being found in an old bread basket.
👉… https://t.co/5R2Pmr8gBf",0.0,0.0,1.0,0.0,84
84,@BBC,Tue Jul 24 11:01:00 +0000 2018,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.' https://t.co/sFUvFL8OaL",-0.0191,0.0,0.918,0.082,85
85,@BBC,Tue Jul 24 09:53:15 +0000 2018,RT @bbcworldservice: *Calling all Star Wars fans!* This is a VR experience where you star in the storyline. Hear more about Lucasfilm's VR…,-0.5983,0.0,0.844,0.156,86
86,@BBC,Tue Jul 24 08:00:10 +0000 2018,The perfect picnic doesn't exi... https://t.co/hCE7MqzF2P,0.5719,0.425,0.575,0.0,87
87,@BBC,Tue Jul 24 07:27:04 +0000 2018,👶👵 Most people feel younger or older than they really are – and this 'subjective age' has a big effect on their phy… https://t.co/vGnFI1TfmB,0.0,0.0,1.0,0.0,88
88,@BBC,Tue Jul 24 07:00:18 +0000 2018,Meet the man who escaped locked-in syndrome and is about to become a dad. https://t.co/x0Bkz8R176,0.0,0.0,1.0,0.0,89
89,@BBC,Mon Jul 23 20:03:06 +0000 2018,"Film-maker Mo Naqvi attempts to decide who to vote for in Pakistan's upcoming election.

Storyville: Insha'Allah De… https://t.co/u7nu633Gt2",0.0,0.0,1.0,0.0,90
90,@BBC,Mon Jul 23 18:02:06 +0000 2018,"💈❤️ Meet the barber tackling mental health one beard trim at a time.
(via @BBCThree) https://t.co/sTbcQnZ2ck",0.0,0.0,1.0,0.0,91
91,@BBC,Mon Jul 23 17:31:04 +0000 2018,"Follow the transportation of a herd of elephants from the Midlands to their new seaside home. 🐘

Elephants on the M… https://t.co/nvfAlmyl21",0.0,0.0,1.0,0.0,92
92,@BBC,Mon Jul 23 16:03:04 +0000 2018,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,0.4939,0.314,0.686,0.0,93
93,@BBC,Mon Jul 23 15:31:24 +0000 2018,"RT @cbbc: Andy Samberg &amp; @selenagomez talk all things @HotelT 🕸️👻🌴
For the full interview download the #CBBCBuzz app now! https://t.co/83Vu…",0.0,0.0,1.0,0.0,94
94,@BBC,Mon Jul 23 13:02:00 +0000 2018,"If you're blind or partially sighted, this might help.
 
At the BBC, we offer audio description to describe our sho… https://t.co/jDXcSK72uQ",0.0,0.111,0.779,0.111,95
95,@BBC,Mon Jul 23 12:02:03 +0000 2018,"Y'alright love? 🐦 

Meet Mourdour, the raven with a Yorkshire accent.... 

https://t.co/6K9eMeDh0k",0.6369,0.296,0.704,0.0,96
96,@BBC,Mon Jul 23 11:37:06 +0000 2018,RT @bbccomedy: The wonderful Victoria Wood talking sex. ❤️ https://t.co/uKdwA5f3T0,0.5719,0.27,0.73,0.0,97
97,@BBC,Mon Jul 23 11:36:58 +0000 2018,RT @bbccomedy: When it's not just work you're frustrated with... https://t.co/Qlv5gMgkGD,-0.5267,0.0,0.746,0.254,98
